id	address	lng	lat	name	district	type
1	Ahlfeldstraße  2 	0	0	Kita Ahlfeldstraße  2 	Alt-West	Kindertagesstätte
2	Alte Straße 2 	12.34192	51.3316	Kita Alte Straße 2 	Südwest	Kindertagesstätte
3	Alte Thekalerstr. 13a 	12.433440000000019	51.37855	Kita Alte Thekalerstr. 13a 	Nordost	Kindertagesstätte
4	Altenburger Str.  3 	12.38368	51.31795	Kita Altenburger Str.  3 	Süd	Kindertagesstätte
5	Althener Anger  18 	12.51926	51.33971	Kita Althener Anger  18 	Ost	Kindertagesstätte
6	Althener Straße 18 	12.48493	51.33368	Kita Althener Straße 18 	Ost	Kindertagesstätte
7	Am Hohlweg 2 	12.30507	51.38082	Kita Am Hohlweg 2 	Nordwest	Kindertagesstätte
8	Am Kirschberg 39 	12.28225	51.31854	Kita Am Kirschberg 39 	West	Kindertagesstätte
9	Am Kirschberg  37 	12.282181400000013	51.319375	Kita Am Kirschberg  37 	West	Kindertagesstätte
10	Am Langen Felde 29 	12.31512	51.343	Kita Am Langen Felde 29 	Alt-West	Kindertagesstätte
11	Am langen Felde  8 	12.3163	51.34537	Kita Am langen Felde  8 	Alt-West	Kindertagesstätte
12	An der Hauptstraße 40 a	12.44462	51.42048	Kita An der Hauptstraße 40 a	Nord	Kindertagesstätte
13	An der Lehde 12 	12.32199	51.3458	Kita An der Lehde 12 	Alt-West	Kindertagesstätte
14	An der Lehde 14 	12.32218	51.34556	Kita An der Lehde 14 	Alt-West	Kindertagesstätte
15	An der Märchenwiese 3 	12.39306	51.30574	Kita An der Märchenwiese 3 	Süd	Kindertagesstätte
16	An der Querbreite 4 	12.3874	51.37097	Kita An der Querbreite 4 	Nord	Kindertagesstätte
17	An der Schule 1 	12.33347	51.39204	Kita An der Schule 1 	Nordwest	Kindertagesstätte
18	An der Tabaksmühle 30 	0	0	Kita An der Tabaksmühle 30 	Süd	Kindertagesstätte
19	An der Teichmühle 2 	12.25032	51.34078	Kita An der Teichmühle 2 	Alt-West	Kindertagesstätte
20	Arthur-Nagel-Straße 1 a/b	12.323870400000033	51.307364	Kita Arthur-Nagel-Straße 1 a/b	Südwest	Kindertagesstätte
21	Auenstraße 10 	12.2978	51.35897	Kita Auenstraße 10 	Alt-West	Kindertagesstätte
22	Bästleinstraße 18 	0	0	Kita Bästleinstraße 18 	Nordost	Kindertagesstätte
23	Bernburger Straße 22 	12.39214	51.36438	Kita Bernburger Straße 22 	Nord	Kindertagesstätte
24	Bertolt-Brecht-Straße 11 	12.42947	51.35653	Kita Bertolt-Brecht-Straße 11 	Nordost	Kindertagesstätte
25	Biedermannstraße 23 	12.37584	51.30789	Kita Biedermannstraße 23 	Süd	Kindertagesstätte
26	Bisamstraße 17 	12.4725052	51.3566593	Kita Bisamstraße 17 	Ost	Kindertagesstätte
27	Bockstraße 8 	12.42694	51.30359	Kita Bockstraße 8 	Südost	Kindertagesstätte
28	Bornaische Straße 184 	12.39239	51.28732	Kita Bornaische Straße 184 	Süd	Kindertagesstätte
29	Bornaische Straße 138 	12.38685	51.29381	Kita Bornaische Straße 138 	Süd	Kindertagesstätte
30	Bornaische Straße  186 c 	12.39211	51.28663	Kita Bornaische Straße  186 c 	Süd	Kindertagesstätte
31	Bothestraße 17/19 	12.35402	51.36433	Kita Bothestraße 17/19 	Nord	Kindertagesstätte
32	Brandiser Straße 20 	12.47453	51.32294	Kita Brandiser Straße 20 	Ost	Kindertagesstätte
33	Breisgaustraße 21 a	12.292730000000006	51.31778	Kita Breisgaustraße 21 a	West	Kindertagesstätte
34	Bremer Straße 17 	12.3648	51.37699	Kita Bremer Straße 17 	Nord	Kindertagesstätte
35	Bremer Weg 17 	12.36316	51.38376	Kita Bremer Weg 17 	Nord	Kindertagesstätte
36	Coppistraße 19 	12.38138	51.36586	Kita Coppistraße 19 	Nord	Kindertagesstätte
37	Dahlienstraße 75 	12.30432	51.32433	Kita Dahlienstraße 75 	West	Kindertagesstätte
38	Delitzscher Str. 141 	12.3788	51.38466	Kita Delitzscher Str. 141 	Nord	Kindertagesstätte
39	Demmeringstraße 35 	12.33009	51.337	Kita Demmeringstraße 35 	Alt-West	Kindertagesstätte
40	Demmeringstraße  18 	12.33419	51.33838	Kita Demmeringstraße  18 	Alt-West	Kindertagesstätte
41	Demmeringstraße 125 	12.31946	51.33331	Kita Demmeringstraße 125 	Alt-West	Kindertagesstätte
42	Diderotstraße 13 	12.34614	51.37084	Kita Diderotstraße 13 	Nordwest	Kindertagesstätte
43	Diezmannstraße 87a 	12.31075	51.31387	Kita Diezmannstraße 87a 	Südwest	Kindertagesstätte
44	Dölling Straße  21 	12.44851	51.3482	Kita Dölling Straße  21 	Ost	Kindertagesstätte
45	Dorfstraße 41 	12.51748	51.30866	Kita Dorfstraße 41 	Ost	Kindertagesstätte
46	Eduard-von-Hartmann-Straße 29/31 	12.3795	51.37073	Kita Eduard-von-Hartmann-Straße 29/31 	Nord	Kindertagesstätte
47	Eichlerstraße  10 	12.4012	51.32794	Kita Eichlerstraße  10 	Südost	Kindertagesstätte
48	Eisenacher Straße 38 	12.36438	51.36155	Kita Eisenacher Straße 38 	Nord	Kindertagesstätte
49	Eisenbahnstraße 52 	12.4024	51.3458	Kita Eisenbahnstraße 52 	Ost	Kindertagesstätte
50	Elsbethstraße 38 	12.36276	51.36395	Kita Elsbethstraße 38 	Nord	Kindertagesstätte
51	Enderststraße  32 	12.327857999999992	51.3335036	Kita Enderststraße  32 	Alt-West	Kindertagesstätte
52	Engelsdorfer Straße  279 	12.48326	51.33456	Kita Engelsdorfer Straße  279 	Ost	Kindertagesstätte
53	Engelsdorfer-Straße 130 	12.44532	51.33171	Kita Engelsdorfer-Straße 130 	Ost	Kindertagesstätte
54	Erhardstraße 6 	12.34272	51.31826	Kita Erhardstraße 6 	Südwest	Kindertagesstätte
55	Erich-Zeigner-Allee 77 a	12.337130000000002	51.32332	Kita Erich-Zeigner-Allee 77 a	Südwest	Kindertagesstätte
56	Erich-Zeigner-Allee 77 	12.33697	51.32266	Kita Erich-Zeigner-Allee 77 	Südwest	Kindertagesstätte
57	Ferdinand-Rhode-Straße 17 	12.36666	51.33046	Kita Ferdinand-Rhode-Straße 17 	Mitte	Kindertagesstätte
58	Ferdinand-Rhode-Straße 17 a	12.36666	51.33046	Kita Ferdinand-Rhode-Straße 17 a	Mitte	Kindertagesstätte
59	Freiodaer Weg 2 	12.27376	51.385	Kita Freiodaer Weg 2 	Nordwest	Kindertagesstätte
60	Friedrich-Bosse-Straße 19 	12.33437	51.36985	Kita Friedrich-Bosse-Straße 19 	Nordwest	Kindertagesstätte
61	Friedrich-Bosse-Straße 87a 	12.32585	51.37238	Kita Friedrich-Bosse-Straße 87a 	Nordwest	Kindertagesstätte
62	Friedrich-Ludwig-Jahn-Straße 5 	12.25071	51.32732	Kita Friedrich-Ludwig-Jahn-Straße 5 	West	Kindertagesstätte
63	Friedrichshafner Str. 21 	12.41791	51.35412	Kita Friedrichshafner Str. 21 	Nordost	Kindertagesstätte
64	Friedrichshafner Straße 25 	12.40708989999996	51.3655051	Kita Friedrichshafner Straße 25 	Nordost	Kindertagesstätte
65	Friedrichshafner Straße 147 	12.40502	51.3774	Kita Friedrichshafner Straße 147 	Nord	Kindertagesstätte
66	Frohburger Straße  33 D	12.381160000000023	51.31106	Kita Frohburger Straße  33 D	Süd	Kindertagesstätte
67	Gabelsbergerstraße 28 	12.3961148	51.3393213	Kita Gabelsbergerstraße 28 	Mitte	Kindertagesstätte
68	Garskestraße 17 	12.287789999999973	51.32586	Kita Garskestraße 17 	West	Kindertagesstätte
69	Georg-Große-Straße 1a 	12.47863	51.33472	Kita Georg-Große-Straße 1a 	Ost	Kindertagesstätte
70	Gerhard-Ellrodt-Straße 17 a	12.32139	51.29962	Kita Gerhard-Ellrodt-Straße 17 a	Südwest	Kindertagesstätte
71	Gersterstraße  9 	12.39014	51.2949	Kita Gersterstraße  9 	Süd	Kindertagesstätte
72	Gleisstraße 1 	0	0	Kita Gleisstraße 1 	Südwest	Kindertagesstätte
73	Goldsternstraße  21 a	12.45573	51.35554	Kita Goldsternstraße  21 a	Ost	Kindertagesstätte
74	Goldsternstraße 21 b	12.45573	51.35554	Kita Goldsternstraße 21 b	Ost	Kindertagesstätte
75	Goyastraße 8 	12.35638	51.36279	Kita Goyastraße 8 	Nordwest	Kindertagesstätte
76	Grünauer Allee 18 	12.30697	51.31824	Kita Grünauer Allee 18 	West	Kindertagesstätte
77	Grünauer Allee 18 a	12.30697	51.31824	Kita Grünauer Allee 18 a	West	Kindertagesstätte
78	Güldengossaer Straße 6 - 8 	12.45913	51.28224	Kita Güldengossaer Straße 6 - 8 	Südost	Kindertagesstätte
79	Gundermannstr. 16 	12.46307	51.35132	Kita Gundermannstr. 16 	Ost	Kindertagesstätte
80	Gundermannstr.  18 	0	0	Kita Gundermannstr.  18 	Nordost	Kindertagesstätte
81	Gustav-Freytag-Straße 33  a	12.370840000000044	51.31359	Kita Gustav-Freytag-Straße 33  a	Süd	Kindertagesstätte
82	Hannoversche Straße 52 	12.3735	51.37438	Kita Hannoversche Straße 52 	Nord	Kindertagesstätte
83	Hannoversche Straße 50 	12.37370999999996	51.37497	Kita Hannoversche Straße 50 	Nord	Kindertagesstätte
84	Hans-Beimler-Straße 17 	12.33556	51.37235	Kita Hans-Beimler-Straße 17 	Nordwest	Kindertagesstätte
85	Hans-Beimler-Straße 3 	12.33783	51.37165	Kita Hans-Beimler-Straße 3 	Nordwest	Kindertagesstätte
86	Hans-Marchwitza-Straße 10 	12.39935	51.29975	Kita Hans-Marchwitza-Straße 10 	Süd	Kindertagesstätte
87	Hans-Oster-Strasse 16 	0	0	Kita Hans-Oster-Strasse 16 	Nord	Kindertagesstätte
88	Hans-Otto-Straße 2 a	12.39385	51.30261	Kita Hans-Otto-Straße 2 a	Süd	Kindertagesstätte
89	Hans-Otto-Straße 2 b	12.39385	51.30261	Kita Hans-Otto-Straße 2 b	Süd	Kindertagesstätte
90	Haydnstraße  20 	12.3641725	51.3293493	Kita Haydnstraße  20 	Mitte	Kindertagesstätte
91	Heilemannstraße  19 	12.367339	51.3119598	Kita Heilemannstraße  19 	Süd	Kindertagesstätte
92	Herloßsohnstraße 20 	12.35509	51.36017	Kita Herloßsohnstraße 20 	Nord	Kindertagesstätte
93	Hermann-Liebmann-Straße 99 	12.406157	51.3478263	Kita Hermann-Liebmann-Straße 99 	Ost	Kindertagesstätte
94	Hohe Straße 21 	12.37647	51.32914	Kita Hohe Straße 21 	Mitte	Kindertagesstätte
95	Holsteinstraße 62/64 	12.40687	51.32663	Kita Holsteinstraße 62/64 	Südost	Kindertagesstätte
96	Holunderweg 38 	12.29138	51.26826	Kita Holunderweg 38 	Südwest	Kindertagesstätte
97	Holzhäuser Str. 15 	12.41134	51.31933	Kita Holzhäuser Str. 15 	Südost	Kindertagesstätte
98	Jadassohnstraße 2 	12.30724	51.33464	Kita Jadassohnstraße 2 	Alt-West	Kindertagesstätte
99	Jaspisstrasse 52 	12.48236	51.33624	Kita Jaspisstrasse 52 	Ost	Kindertagesstätte
100	Jörgen-Schmidtchen-Weg 4 	12.360522	51.3799585	Kita Jörgen-Schmidtchen-Weg 4 	Nord	Kindertagesstätte
101	Jörgen-Schmidtchen-Weg 6 	12.36111	51.3799	Kita Jörgen-Schmidtchen-Weg 6 	Nord	Kindertagesstätte
102	Jupiterstraße 37 	12.26919	51.32058	Kita Jupiterstraße 37 	West	Kindertagesstätte
103	Kändlerstraße 11 	12.26867	51.31232	Kita Kändlerstraße 11 	West	Kindertagesstätte
104	Kantatenweg 41 b	12.33363	51.31817	Kita Kantatenweg 41 b	Südwest	Kindertagesstätte
105	Kantatenweg 41 a	12.33363	51.31817	Kita Kantatenweg 41 a	Südwest	Kindertagesstätte
106	Kantor-Andrä-Straße  16 	12.2880642	51.3543999	Kita Kantor-Andrä-Straße  16 	Alt-West	Kindertagesstätte
107	Karl-Heine-Straße 34 	12.33762	51.3326	Kita Karl-Heine-Straße 34 	Südwest	Kindertagesstätte
108	Karl-Mannsfeld-Straße 7-8 	12.32173	51.38709	Kita Karl-Mannsfeld-Straße 7-8 	Nordwest	Kindertagesstätte
109	Kelbestraße  3 	12.45162	51.32685	Kita Kelbestraße  3 	Ost	Kindertagesstätte
110	Kleiststraße 12 	12.37957	51.36465	Kita Kleiststraße 12 	Nord	Kindertagesstätte
111	Knautnaundorfer Straße 4 f	0	0	Kita Knautnaundorfer Straße 4 f	Südwest	Kindertagesstätte
112	Koehlerstraße  7 	12.40365	51.3396	Kita Koehlerstraße  7 	Ost	Kindertagesstätte
113	Kohlgartenweg 3 	0	0	Kita Kohlgartenweg 3 	Ost	Kindertagesstätte
114	Königsteinstraße 70 	12.2652472	51.3055427	Kita Königsteinstraße 70 	West	Kindertagesstätte
