name	uri	type	address	email	web	angebote	ortsteile
Freier Träger - AHF Grundschule	http://www.leipzig.de/detailansicht-adresse/freier-traeger-ahf-grundschule/	Grundschule	"[{""address""=>"",,Puschstraße 9,04103,Leipzig,"", ""location""=>{:lat=>39.390897, :lng=>-99.066067}}]"	info@ahfgrundschule.de	http://www.ahfgrundschule.de/schule.html		"[""Mitte"", ""Zentrum-Südost""]"
Freier Träger - Aktive Schule Leipzig	http://www.leipzig.de/detailansicht-adresse/freier-traeger-aktive-schule-leipzig/	Grundschule	"[{""address""=>"",,Eisenacher Straße 40,04155,Leipzig,"", ""location""=>{:lat=>51.361599, :lng=>12.363855}}]"	kontakt@aktive-schule-leipzig.de	http://www.aktive-schule-leipzig.de/		"[""Nord"", ""Gohlis-Süd""]"
Freier Träger - BIP-Kreativitätsgrundschule und -gymnasium	http://www.leipzig.de/detailansicht-adresse/freier-traeger-bip-kreativitaetsgrundschule-und-gymnasium/	Grundschule	"[{""address""=>"",,Torgauer Straße 114,04347,Leipzig,"", ""location""=>{:lat=>51.359592, :lng=>12.443049}}]"	bipgymnasium@t-online.de	http://www.bip-mehlhornschulen.de/		"[""Heiterblick"", ""Ost""]"
Freier Träger - Bischöfliches Maria-Montessori-Schulzentrum Leipzig	http://www.leipzig.de/detailansicht-adresse/freier-traeger-bischoefliches-maria-montessori-schulzentrum-leipzig/	Grundschule	"[{""address""=>"",,Alte Salzstraße 61/65,04209,Leipzig,"", ""location""=>{:lat=>51.321005, :lng=>12.299083}}]"	Montesori-schule-leipzig@t-online.de	http://www.montessori-leipzig.de/		"[""West"", ""Grünau-Mitte""]"
Freier Träger - Evangelisches Schulzentrum	http://www.leipzig.de/detailansicht-adresse/freier-traeger-evangelisches-schulzentrum/	Grundschule	"[{""address""=>"",,Schletterstraße 7,04107,Leipzig,"", ""location""=>{:lat=>51.330528, :lng=>12.377517}}]"	eva@schulzentrum.de	http://www.schulzentrum.de/		"[""Mitte"", ""Zentrum-Süd""]"
"Freier Träger - Freie Grundschule ""Clara Schumann"" Leipzig"	http://www.leipzig.de/detailansicht-adresse/freier-traeger-freie-grundschule-clara-schumann-leipzig/	Grundschule	"[{""address""=>"",,Inselstraße 18,04103,Leipzig,"", ""location""=>{:lat=>51.340512, :lng=>12.391158}}]"	grundschule-lpz@rahn-schulen.de	http://www.grundschule-clara-schumann.de/		"[""Mitte"", ""Zentrum-Ost""]"
"Freier Träger - Freie Grundschule ""Regenbogen"""	http://www.leipzig.de/detailansicht-adresse/freier-traeger-freie-grundschule-regenbogen/	Grundschule	"[{""address""=>"",,Raschwitzer Straße 15,04279,Leipzig,"", ""location""=>{:lat=>51.295325, :lng=>12.385129}}]"	leipzig.grundschule@regenbogen-leipzig.de	http://www.regenbogen-schulen.de/?id=gs_leipzig		"[""Dölitz-Dösen"", ""Süd""]"
Freier Träger - Freie Schule Leipzig e.V.	http://www.leipzig.de/detailansicht-adresse/freier-traeger-freie-schule-leipzig-ev/	Grundschule	"[{""address""=>"",,Alte Salzstraße 67,04209,Leipzig,"", ""location""=>{:lat=>51.320328, :lng=>12.295909}}]"	kontakt@freie-schule-leipzig.de	http://www.freie-schule-leipzig.de/		"[""West"", ""Grünau-Mitte""]"
Freier Träger - Freie Waldorfschule Leipzig	http://www.leipzig.de/detailansicht-adresse/freier-traeger-freie-waldorfschule-leipzig/	Grundschule	"[{""address""=>"",,Berthastraße 15,04357,Leipzig,"", ""location""=>{:lat=>51.364894, :lng=>12.405661}}]"	kontakt@waldorfschule-leipzig.de	http://www.waldorfschule-leipzig.de/		"[""Nordost"", ""Mockau-Süd""]"
Freier Träger - Grundschule Auguste	http://www.leipzig.de/detailansicht-adresse/freier-traeger-grundschule-auguste/	Grundschule	"[{""address""=>"",,Grüne Gasse 21b,04318,Leipzig,"", ""location""=>{:lat=>39.390897, :lng=>-99.066067}}]"	auguste@schugel.de	http://www.schugel.de/Schulen_fur_gemeinschaftliches_Lernen/Grundschule_Auguste.html		"[""Ost"", ""Anger-Crottendorf""]"
