Straßenname	ungerade Hausnummer	gerade Hausnummer	Wahlkreis	Ortschaft	Wahlbezirk
Aachener Straße	7		0		0419
Abrahamstraße	1A-9	2-20	7		7200
Abtnaundorfer Straße	1-67	40-68	1		1009
Achatstraße	2-52		2	Engelsdorf	2701
Ackerweg	1-25	6-28	1		1510
Adelgunde-Gottsched-Weg	1-51	10-22	2	Engelsdorf	2712
Adenauerallee	5-9	2-10	1		1009
Adenauerallee	20-20A		1		1149
Adlershelmstraße	1-5	2-6	2		2201
Adolf-Damaschke-Straße	1-21	2-38	2	Engelsdorf	2709
Adolf-Koppe-Straße	3-23	10-20	2	Mölkau	2619
Adolph-Menzel-Straße	1-9	2-6	9		9149
Adolph-Menzel-Straße	6A-40		9		9139
Adolph-Menzel-Straße	11-17A		9		9129
Agnesstraße	2-4		8		8011
Agricolastraße	1-21	2-14	5		5049
Ahlfeldstraße	1-11	2-4	7		7119
Ahorngasse	1-7	2-8	9	Seehausen	9419
Ahornstraße	1-7		2		2439
Ahornstraße	9-17	2-20	2		2459
Ahornweg	2-10		4		4101
Akazienweg	2-30		9	Wiederitzsch	9519
Akeleiweg	1-9	2-8	2	Engelsdorf	2729
Albersdorfer Straße	1-37C	2-34	5		5401
Albersdorfer Weg	5-11	4-6	5	Hartmannsdorf-Knautnaundorf	5509
Albert-Schweitzer-Straße	5-21	2-20	3		3039
Albert-Vollsack-Straße	1-3	2-4	5		5319
Albrecht-Dürer-Weg	1-41	2-26	2		2489
Albrechtshainer Straße	1-5	2-12	3		3130
Albrechtshainer Straße	25	22-54	2	Mölkau	2609
Albrechtshainer Straße	41		2	Mölkau	2629
Albrechtshainer Straße	81-95	64-98	2	Mölkau	2619
Alemannenweg	5-7	6-8	8		8009
Alexander-Alesius-Straße	1-3	2-6	2	Mölkau	2619
Alexanderstraße	41-47	40-48	0		0429
Alfred-Frank-Straße	1-3	2	5		5007
Alfred-Frank-Straße	11-15	12-14	5		5008
Alfred-Kästner-Straße	1-11	2-16	4		4009
Alfred-Kästner-Straße	18-34		4		4001
Alfred-Kästner-Straße	13-35	36-40	4		4029
Alfred-Kästner-Straße	39-55C	44-68	4		4039
Alfred-Kästner-Straße	57-75	72-92	4		4031
Alfred-Schurig-Straße	1-15		2		2311
Altdorferweg	1-15	2-16	3		3319
Alte Baumschule	1-23	2-26	3	Liebertwolkwitz	3439
Alte Burghausener Straße	1		7	Miltitz	6601
Alte Burghausener Straße	1A	2-18	7	Miltitz	6602
Alte Burghausener Straße	5		7	Miltitz	6601
Alte Dorfstraße	1-55	2-56	7	Rückmarsdorf	7529
Alte Gärtnerei	2-10		3	Liebertwolkwitz	3409
Alte Hohe Straße	2-4		9		1359
Alte Holzhausener Straße	1-3	2-14	3	Liebertwolkwitz	3419
Alte Landsberger Straße	15		8	Lindenthal	8309
Alte Messe	2-4		0		0241
Alte Salzstraße	1-33	6-30	7		7239
Alte Salzstraße	51-65	50-96	6		6129
Alte Salzstraße	67	100-110	6		6109
Alte Salzstraße	103-115		6		6269
Alte Salzstraße	117-155		6		6249
Alte Salzstraße	169-183		6		6239
Alte Salzstraße	185-359	190-304	5		6311
Alte Seehausener Straße	97-105	2-130A	9	Seehausen	9419
Alte Straße	1-21A	2-34	5		5109
Alte Straße	23-53		5		5122
Alte Tauchaer Straße	1-31	2-60	3	Liebertwolkwitz	3419
Alte Tauchaer Straße	64		3	Holzhausen	3521
Alte Tauchaer Straße	65-81		3	Liebertwolkwitz	3409
Alte Theklaer Straße	1-31	2-16	1	Plaußig	1520
Altenburger Straße	3-15	4-56	4		4098
Alter Amtshof	1-5	2-4	0		0449
Alter Kirchweg	1-7	2-8	8	Lützschena-Stahmeln	8200
Alter Marktweg	1	4-8	2	Engelsdorf	2711
Altes Dorf	1-17	2-24	1		1500
Althener Anger	1-35	2-60	2	Engelsdorf	2900
Althener Straße	1-9	2-22H	2	Engelsdorf	2709
Althener Straße	33-35	78-82	2	Engelsdorf	2729
Am langen Teiche	3-17		1		1500
Am Lindeneck	1-15	2-4	6		6491
Am Lindenhof	1-19	2-24	4		4149
Am Lösegraben	13-23	2-20	1		1510
Am Luppedeich	3-5	2-6	8		8011
Am Markt	10		7	BöhLindenthalz-Ehrenberg	7429
Am Meilenstein	1-17		8		8111
Am Meilenstein	2-20		8		8121
Am Mückenschlößchen	1-15		0		0501
Am Mühlengrund	1-25		6		6491
Am Mühlgraben	1-41	2-32	5		5412
Am Niederholz	3-45	2-40	3	Liebertwolkwitz	3439
Am Ochsenwinkel	2		2	Engelsdorf	2919
Am Osthang	1-15	2-30	7	Rückmarsdorf	7529
Am Parkteich	1-7	2-6	9		9171
Am Pfarrfelde	2-4		8		8121
Am Pfefferbrückchen	1-5	2	8		8011
Am Pfingstanger	11		8	Lützschena-Stahmeln	8219
Am Pösgraben	1-49	2-20	2	Engelsdorf	2919
Am Rain	5-11	2-16	7	Rückmarsdorf	7510
Am Rennsteig	5	4-10	7	Rückmarsdorf	7529
Am Ring	1-17	2-20B	9	Seehausen	9419
Am Ritterschlößchen	1-5		7		7319
Am Ritterschlößchen	20-22		7		7309
Am Ritterschlößchen	30-44		7	BöhLindenthalz-Ehrenberg	7401
Am Rodeland	1-41	2-24	3	Liebertwolkwitz	3439
Am Röschenhof	2-14		2		2471
Am Russischen Garten	1-15	2-12	8	Lützschena-Stahmeln	8219
Am Sandberg	1-29	2-30	9	Wiederitzsch	9531
Am Schäferhügel	1-3	2-10B	2	Mölkau	2619
Am Schaukelgraben	1-11	2-12	3	Liebertwolkwitz	3439
Am Schenkberg	3-5	2-20	1	Plaußig	1520
Am Schwalbennest	1-33	6-42	6		6039
Am Silo	1-9	6-12	6		6469
Am Sommerfeld	3-23	10-20	2	Engelsdorf	2712
Am Sonneneck	7-17		6		6489
Am Sonneneck	19-31	2-20	6		6491
Am Sonnenwinkel	1-7	6	8	Lindenthal	8309
Am Sperrtor	1		7	Burghausen	7501
Am Sportforum	3-7	2-20	0		0519
Am Sportpark	5	2	7		7309
Am Sportplatz	1-5		5	Hartmannsdorf-Knautnaundorf	5520
Am Stausee	1-3	2	5	Hartmannsdorf-Knautnaundorf	5509
Am Stausee	8-10		5		5412
Am Tanzplan	2-16		7		7309
Am Tanzplan	3-27		7		7359
Am Teich	1-23B	2-26	6		6491
Am Teilungswehr	1		4		4101
Am Tore	1-5	2-6	9		1220
Am Turnplatz	1-7	10-12	7	Burghausen	7501
Am Viadukt	2-44		8		8011
Am Viadukt	56		8		8009
Am Volksgut	1-21	4-14	2	Engelsdorf	2711
Am Vorwerk	1-15	2A	2		2459
Am Vorwerk	2		2		2489
Am Vorwerk	4-12		2		2489
Am Wassergraben	5		8	Lützschena-Stahmeln	8200
Am Wasserschloß	4-18		7		7359
Am Wasserturm	1-19	2-18	7	Rückmarsdorf	7529
Am Wasserwerk	1-9	2-10	3		3168
Am Wegekreuz	1-9	2-16	1		1439
Am Weiher	1-7		5		5412
Am Wiesenblick	1-29A	2-52B	2	Engelsdorf	2900
Am Wiesengrund	1-23		6		6491
