Wbz	Wahlraum	Anschrift	BF
0019	Stadtbüro	Katharinenstraße 2	1
1360	F.-A.-Brockhaus-Schule	Kieler Straße 72B	0
0109	Leipzig Kolleg	Czermaks Garten 8	1
1401	Schule Portitz (Oberschule)	Lidicestraße 12	0
0129	Leipzig Kolleg	Czermaks Garten 8	1
1410	Schule Portitz (Oberschule)	Lidicestraße 12	0
0200	Georg-Schumann-Schule	Glockenstraße 6	0
1421	Schule Portitz (Oberschule)	Lidicestraße 12	0
0211	Georg-Schumann-Schule	Glockenstraße 6	0
1439	Schule Portitz (Oberschule)	Lidicestraße 12	0
0212	Georg-Schumann-Schule	Glockenstraße 6	0
1500	Schule Portitz (Grundschule)	Göbschelwitzer Weg 1	0
0220	Pablo-Neruda-Schule (Neubau)	Tarostraße 6	1
1510	Schule Portitz (Grundschule)	Göbschelwitzer Weg 1	0
0230	Pablo-Neruda-Schule (Neubau)	Tarostraße 6	1
1520	Gasthof Plaußig	Plaußiger Dorfstraße 21	0
0241	Pablo-Neruda-Schule (Neubau)	Tarostraße 6	1
2009	Schule am Rabet	Eisenbahnstraße 50	0
0301	Schule am Floßplatz	Hohe Straße 45	0
2020	Schule am Rabet	Eisenbahnstraße 50	0
0310	Schule am Floßplatz	Hohe Straße 45	0
2039	August-Bebel-Schule	Husemannstraße 2	0
0320	Schule am Floßplatz	Hohe Straße 45	0
2059	August-Bebel-Schule	Husemannstraße 2	0
0338	Ev. Schulzentrum, Schulhaus 2	Schletterstraße 7	1
2069	August-Bebel-Schule	Husemannstraße 2	0
0339	Ev. Schulzentrum, Schulhaus 2	Schletterstraße 7	1
2109	16. Schule	Konradstraße 67	0
0341	Ev. Schulzentrum, Schulhaus 2	Schletterstraße 7	1
2139	16. Schule	Konradstraße 67	0
0359	Ev. Schulzentrum, Schulhaus 2	Schletterstraße 7	1
2141	16. Schule	Konradstraße 67	0
0400	Thomasschule	Hillerstraße 7	1
2149	16. Schule	Konradstraße 67	0
0419	Thomasschule	Hillerstraße 7	1
2201	74. Schule	Friedrich-Dittes-Straße 23	0
0421	Lessingschule	Lessingstraße 27	0
2219	Ernst-Pinkert-Schule	Martinstraße 7	0
0429	Anna-Magdalena-Bach-Schule	Manetstraße 8	0
2221	Ernst-Pinkert-Schule	Martinstraße 7	0
0449	Anna-Magdalena-Bach-Schule	Manetstraße 8	0
2231	74. Schule	Friedrich-Dittes-Straße 23	0
0501	Sportoberschule	Max-Planck-Straße 1	0
2249	Ernst-Pinkert-Schule	Martinstraße 7	0
0519	Sportoberschule	Max-Planck-Straße 1	0
2309	Hans-Christian-Andersen-Schule	Louis-Fürnberg-Str. 2	1
0521	Lessingschule	Lessingstraße 27	0
2311	Hans-Christian-Andersen-Schule	Louis-Fürnberg-Str. 2	1
0530	Sportoberschule	Max-Planck-Straße 1	0
2321	24. Schule	Döllingstraße 25	0
0549	Lessingschule	Lessingstraße 27	0
2330	Adolph-Diesterweg-Schule	Portitzer Straße 1	1
0601	Leibnizschule	Nordplatz 13	0
2340	Adolph-Diesterweg-Schule	Portitzer Straße 1	1
0609	Michaelis-Friedens-Gemeinde Leipzig	Nordplatz 4	0
2401	Brüder-Grimm-Schule	Goldsternstraße 23	0
0619	Leibnizschule	Nordplatz 13	0
2402	Brüder-Grimm-Schule	Goldsternstraße 23	0
0621	Leibnizschule	Nordplatz 13	0
2410	Brüder-Grimm-Schule	Goldsternstraße 23	0
1009	Christliches Sozialwerk	Löbauer Straße 21	1
2420	Brüder-Grimm-Schule	Goldsternstraße 23	0
1029	Christliches Sozialwerk	Löbauer Straße 21	1
2439	Schule Paunsdorf	Zum Wäldchen 4	0
1030	21. Schule	Stöckelstraße 45	0
2459	Schule Paunsdorf	Zum Wäldchen 4	0
1059	21. Schule	Stöckelstraße 45	0
2471	24. Schule	Döllingstraße 25	0
1061	21. Schule	Stöckelstraße 45	0
2489	Schule Paunsdorf	Zum Wäldchen 4	0
1079	21. Schule	Stöckelstraße 45	0
2509	Gustav-Hertz-Schule	Dachsstraße 5	1
1109	Astrid-Lindgren-Schule	Volksgartenstraße 16	0
2511	Gustav-Hertz-Schule	Dachsstraße 5	1
1119	20. Schule	Bästleinstraße 14	0
2512	Gustav-Hertz-Schule	Dachsstraße 5	1
1129	Astrid-Lindgren-Schule	Volksgartenstraße 16	0
2601	ehem. Bürgeramt Mölkau	Engelsdorfer Straße 88	0
1149	"Kinder- und Jugendtreff ""Kirsche"""	Schulzeweg 11	1
2609	Schule Mölkau	Schulstraße 6	0
1159	20. Schule	Bästleinstraße 14	0
2619	Gasthof Zweinaundorf	Zweinaundorfer Straße 210	1
1169	20. Schule	Bästleinstraße 14	0
2629	Schule Mölkau	Schulstraße 6	0
1209	Freie Waldorfschule Leipzig	Berthastraße 15	0
2701	Christoph-Arnold-Schule	Gaswerksweg 1	1
1211	Freie Waldorfschule Leipzig	Berthastraße 15	0
2709	Gymnasium Engelsdorf	Arthur-Winkler-Straße 6	0
1220	Freie Waldorfschule Leipzig	Berthastraße 15	0
2711	Förderschule Engelsdorf	Riesaer Straße 177	0
1301	66. Schule	Rosenowstraße 56	0
2712	Förderschule Engelsdorf	Riesaer Straße 177	0
1319	66. Schule	Rosenowstraße 56	0
2729	Christoph-Arnold-Schule	Gaswerksweg 1	1
1321	66. Schule	Rosenowstraße 56	0
2731	Gymnasium Engelsdorf	Arthur-Winkler-Straße 6	0
1339	66. Schule	Rosenowstraße 56	0
2809	Vereinshaus Baalsdorf	Brandiser Straße 20	1
1341	F.-A.-Brockhaus-Schule	Kieler Straße 72B	0
2900	Hilbert Fuhrbetrieb und Baustoff OHG	Althener Anger 26	1
1359	F.-A.-Brockhaus-Schule	Kieler Straße 72B	0
2919	Freiwillige Feuerwehr Kleinpösna	Dorfstraße 18	0
3001	Wilhelm-Busch-Schule	Heinrichstraße 43	0
4131	Schule Connewitz	Zwenkauer Straße 35	0
3009	Wilhelm-Busch-Schule	Heinrichstraße 43	0
4132	Schule Connewitz	Zwenkauer Straße 35	0
3019	Wilhelm-Busch-Schule	Heinrichstraße 43	0
4141	Schule Connewitz	Zwenkauer Straße 35	0
3021	Wilhelm-Busch-Schule	Heinrichstraße 43	0
4149	Schule Connewitz	Zwenkauer Straße 35	0
3039	Humboldt-Schule	Möbiusstraße 8	1
4159	Schule Connewitz	Zwenkauer Straße 35	0
3049	Humboldt-Schule	Möbiusstraße 8	1
4201	Albert-Schweitzer-Schule	An der Märchenwiese 3	1
3059	Humboldt-Schule	Möbiusstraße 8	1
4209	Albert-Schweitzer-Schule	An der Märchenwiese 3	1
